"","Package","LibPath","Version","Priority","Built"
"144","igraph","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2.4.1",NA,"3.5.3"
"145","ini","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.1",NA,"3.5.3"
"146","inline","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.15",NA,"3.4.4"
"147","intergraph","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.0-2",NA,"3.5.3"
"148","ipred","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.9-9",NA,"3.5.3"
"149","ismev","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.41",NA,"3.4.4"
"150","iterators","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.9",NA,"3.4.4"
"151","janitor","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2.0",NA,"3.5.3"
"152","jpeg","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1-8",NA,"3.5.2"
"153","jsonlite","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.6",NA,"3.6.2"
"154","kableExtra","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1.0",NA,"3.5.3"
"155","kernlab","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.9-26",NA,"3.4.4"
"156","KernSmooth","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.23-15","recommended","3.6.1"
"157","keyplayer","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.3",NA,"3.5.3"
"158","knitr","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.26",NA,"3.6.2"
"159","ks","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.11.1",NA,"3.4.4"
"160","labeling","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3",NA,"3.6.0"
"161","Lahman","C:/Users/aubryp/Documents/R/R-3.6.1/library","6.0-0",NA,"3.4.4"
"162","later","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.8.0",NA,"3.5.3"
"163","lattice","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.20-38","recommended","3.6.1"
"164","latticeExtra","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.6-28",NA,"3.4.4"
"165","lava","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.6.5",NA,"3.5.3"
